[Name]
User Points

[Data]
"Time [s]","Monitor Point: CMZ1","Monitor Point: CMZ2","Monitor Point: CR1","Monitor Point: CR2","Monitor Point: CX1","Monitor Point: CX2","Monitor Point: CY1","Monitor Point: CY2"
2.18599987e+01,-2.29662731e-02,-1.05596632e-02,1.58637345e+00,1.63856125e+00,4.65130508e-01,-1.47570479e+00,1.51665223e+00,7.12164700e-01
2.18799992e+01,-2.37614177e-02,-7.22086709e-03,1.55690968e+00,1.62664402e+00,4.36024189e-01,-1.45932102e+00,1.49460721e+00,7.18577027e-01
2.18999996e+01,-2.45819073e-02,-3.72687425e-03,1.51040816e+00,1.61665297e+00,3.96825045e-01,-1.44474399e+00,1.45734775e+00,7.25452602e-01
2.19200001e+01,-2.53775865e-02,-3.45332664e-04,1.44845092e+00,1.60895097e+00,3.49377424e-01,-1.43212271e+00,1.40568328e+00,7.33312964e-01
2.19399986e+01,-2.61072107e-02,2.71030702e-03,1.37399578e+00,1.60311651e+00,2.96217263e-01,-1.42069018e+00,1.34168541e+00,7.42712498e-01
2.19599991e+01,-2.63031274e-02,5.88601502e-03,1.32241368e+00,1.60804069e+00,2.56305903e-01,-1.42149150e+00,1.29733777e+00,7.51769006e-01
2.19799995e+01,-2.70652175e-02,8.03247653e-03,1.21823621e+00,1.60138667e+00,1.90855995e-01,-1.40595841e+00,1.20319295e+00,7.66629100e-01
2.20000000e+01,-2.79545896e-02,9.84400231e-03,1.11228478e+00,1.59214473e+00,1.26594096e-01,-1.38616049e+00,1.10505724e+00,7.83252299e-01
2.20200005e+01,-2.89326124e-02,1.17086144e-02,1.01131999e+00,1.58038235e+00,6.67385459e-02,-1.36236870e+00,1.00911546e+00,8.00974429e-01
2.20399990e+01,-2.99306810e-02,1.37831746e-02,9.20225263e-01,1.56608307e+00,1.37035772e-02,-1.33502424e+00,9.20123219e-01,8.18734765e-01
2.20599995e+01,-3.08635496e-02,1.60521492e-02,8.42213273e-01,1.54930162e+00,-3.08681782e-02,-1.30486834e+00,8.41647387e-01,8.35256875e-01
2.20799999e+01,-3.16669568e-02,1.84926279e-02,7.78762817e-01,1.53060400e+00,-6.62649572e-02,-1.27329206e+00,7.75938451e-01,8.49397421e-01
2.21000004e+01,-3.23345587e-02,2.09127758e-02,7.29931653e-01,1.51077473e+00,-9.26234499e-02,-1.24201906e+00,7.24031210e-01,8.60133111e-01
2.21199989e+01,-3.29025052e-02,2.31508426e-02,6.94815040e-01,1.49108124e+00,-1.10534102e-01,-1.21325409e+00,6.85966611e-01,8.66797388e-01
2.21399994e+01,-3.34026664e-02,2.51533240e-02,6.72112107e-01,1.47316456e+00,-1.20651022e-01,-1.18935585e+00,6.61194384e-01,8.69279146e-01
2.21599998e+01,-3.38547006e-02,2.69291252e-02,6.60752535e-01,1.45860064e+00,-1.23518407e-01,-1.17227292e+00,6.49104893e-01,8.67923915e-01
2.21800003e+01,-3.42912339e-02,2.84913927e-02,6.60199881e-01,1.44845676e+00,-1.19407073e-01,-1.16305733e+00,6.49311781e-01,8.63321841e-01
2.21999989e+01,-3.42839845e-02,2.95747761e-02,6.76305592e-01,1.44152665e+00,-1.04402378e-01,-1.16191959e+00,6.68198586e-01,8.53195131e-01
2.22199993e+01,-3.44978720e-02,3.07322592e-02,7.02033401e-01,1.44112647e+00,-8.49333853e-02,-1.16786849e+00,6.96876764e-01,8.44350934e-01
2.22399998e+01,-3.47478278e-02,3.18487436e-02,7.35898435e-01,1.44499826e+00,-6.01070896e-02,-1.17895091e+00,7.33439565e-01,8.35520685e-01
2.22600002e+01,-3.49873230e-02,3.28975692e-02,7.78207183e-01,1.45237839e+00,-2.97755543e-02,-1.19355726e+00,7.77637362e-01,8.27541113e-01
2.22799988e+01,-3.56815122e-02,3.41487601e-02,8.01548660e-01,1.46253932e+00,-1.00057675e-02,-1.20619690e+00,8.01486194e-01,8.27109754e-01
2.22999992e+01,-3.56267989e-02,3.51024009e-02,8.68589878e-01,1.47442019e+00,3.79977673e-02,-1.22467625e+00,8.67758393e-01,8.21025550e-01
2.23199997e+01,-3.52795795e-02,3.60709578e-02,9.47612762e-01,1.48550391e+00,9.26987156e-02,-1.24156690e+00,9.43067789e-01,8.15618396e-01
2.23400002e+01,-3.45508270e-02,3.72720957e-02,1.03492904e+00,1.49566591e+00,1.51222214e-01,-1.25653863e+00,1.02382123e+00,8.11250389e-01
2.23599987e+01,-3.34878936e-02,3.86957638e-02,1.12600350e+00,1.50540709e+00,2.10655496e-01,-1.27007556e+00,1.10612297e+00,8.08182120e-01
2.23799992e+01,-3.22021469e-02,4.01875712e-02,1.21578097e+00,1.51527572e+00,2.68145591e-01,-1.28278124e+00,1.18584204e+00,8.06556046e-01
2.23999996e+01,-3.08248848e-02,4.15563360e-02,1.29929745e+00,1.52542496e+00,3.20933014e-01,-1.29485142e+00,1.25903761e+00,8.06400299e-01
2.24200001e+01,-2.94968188e-02,4.26761918e-02,1.37208378e+00,1.53559554e+00,3.66554737e-01,-1.30600631e+00,1.32221460e+00,8.07713628e-01
2.24399986e+01,-2.83451118e-02,4.36140597e-02,1.43061948e+00,1.54539847e+00,4.03112113e-01,-1.31575191e+00,1.37265170e+00,8.10588419e-01
2.24599991e+01,-2.74184793e-02,4.44575474e-02,1.47235239e+00,1.55412054e+00,4.29352820e-01,-1.32324111e+00,1.40835989e+00,8.15060496e-01
2.24799995e+01,-2.67220922e-02,4.52796035e-02,1.49583185e+00,1.56079447e+00,4.44414616e-01,-1.32732737e+00,1.42828870e+00,8.21146548e-01
2.25000000e+01,-2.62161680e-02,4.61308733e-02,1.50028443e+00,1.56441569e+00,4.48005050e-01,-1.32678092e+00,1.43183267e+00,8.28884065e-01
2.25199986e+01,-2.59032603e-02,4.70573939e-02,1.48558640e+00,1.56412971e+00,4.40313578e-01,-1.32049501e+00,1.41883445e+00,8.38328540e-01
2.25399990e+01,-2.56865732e-02,4.80465144e-02,1.45231771e+00,1.55920577e+00,4.21597004e-01,-1.30760562e+00,1.38977790e+00,8.49288166e-01
2.25599995e+01,-2.55024191e-02,4.90194000e-02,1.40158403e+00,1.54905927e+00,3.92613202e-01,-1.28762734e+00,1.34547114e+00,8.61162424e-01
2.25799999e+01,-2.52843257e-02,4.99203838e-02,1.33528733e+00,1.53348255e+00,3.54338348e-01,-1.26073146e+00,1.28741467e+00,8.72997582e-01
2.26000004e+01,-2.50193533e-02,5.07132113e-02,1.25602841e+00,1.51273310e+00,3.08242172e-01,-1.22769272e+00,1.21761823e+00,8.83816779e-01
2.26199989e+01,-2.47628056e-02,5.13794199e-02,1.16718102e+00,1.48741305e+00,2.56210119e-01,-1.18983614e+00,1.13871324e+00,8.92573476e-01
2.26399994e+01,-2.44176071e-02,5.18937409e-02,1.07255042e+00,1.45830536e+00,2.00157106e-01,-1.14875805e+00,1.05370843e+00,8.98337007e-01
