[Name]
User Points

[Data]
"Time [s]","Monitor Point: cm","Monitor Point: cx","Monitor Point: cy"
3.32000008e+01,4.23661154e-03,1.62208652e+00,5.57960127e-04
3.34000015e+01,2.22693454e-03,1.61766076e+00,5.59283420e-02
3.36000023e+01,4.55374829e-05,1.61370301e+00,1.12267002e-01
3.37999992e+01,-2.31316430e-03,1.61036646e+00,1.69337869e-01
3.40000000e+01,-4.86163795e-03,1.60784209e+00,2.26887614e-01
3.42000008e+01,-7.59804621e-03,1.60624206e+00,2.84678221e-01
3.44000015e+01,-1.05136978e-02,1.60570455e+00,3.42435837e-01
3.46000023e+01,-1.36037413e-02,1.60632539e+00,3.99875700e-01
3.47999992e+01,-1.68747790e-02,1.60817790e+00,4.56698775e-01
3.50000000e+01,-2.03125793e-02,1.61134398e+00,5.12575626e-01
3.52000008e+01,-2.38686241e-02,1.61576295e+00,5.67171276e-01
3.54000015e+01,-2.74746418e-02,1.62129390e+00,6.20167851e-01
3.56000023e+01,-3.10667902e-02,1.62770844e+00,6.71369135e-01
3.57999992e+01,-3.45957950e-02,1.63483107e+00,7.20418572e-01
3.60000000e+01,-3.80051546e-02,1.64245462e+00,7.66972959e-01
3.62000008e+01,-4.12222818e-02,1.65038443e+00,8.10624778e-01
3.64000015e+01,-4.41672876e-02,1.65849447e+00,8.51071239e-01
3.66000023e+01,-4.67594005e-02,1.66670167e+00,8.88052881e-01
3.67999992e+01,-4.89229746e-02,1.67497742e+00,9.21304226e-01
3.70000000e+01,-5.05974218e-02,1.68344152e+00,9.50556278e-01
3.72000008e+01,-5.17559797e-02,1.69230413e+00,9.75529790e-01
3.74000015e+01,-5.23510166e-02,1.70165288e+00,9.96023893e-01
3.76000023e+01,-5.23634814e-02,1.71157932e+00,1.01187468e+00
3.77999992e+01,-5.17771021e-02,1.72206056e+00,1.02290809e+00
3.80000000e+01,-5.06270826e-02,1.73292792e+00,1.02890682e+00
3.82000008e+01,-4.89173383e-02,1.74405348e+00,1.02963614e+00
3.84000015e+01,-4.66713086e-02,1.75534821e+00,1.02499986e+00
3.86000023e+01,-4.39326093e-02,1.76668823e+00,1.01491952e+00
3.87999992e+01,-4.07600999e-02,1.77795517e+00,9.99374866e-01
3.90000000e+01,-3.72231975e-02,1.78886557e+00,9.78278041e-01
3.92000008e+01,-3.34032178e-02,1.79923952e+00,9.51535344e-01
3.94000015e+01,-2.93619353e-02,1.80873811e+00,9.19053912e-01
3.96000023e+01,-2.51951441e-02,1.81707931e+00,8.80794704e-01
3.97999992e+01,-2.09963694e-02,1.82387757e+00,8.36728156e-01
4.00000000e+01,-1.68443434e-02,1.82888210e+00,7.86928475e-01
4.02000008e+01,-1.27824899e-02,1.83207357e+00,7.31461942e-01
4.04000015e+01,-8.84099118e-03,1.83343089e+00,6.70383751e-01
4.06000023e+01,-5.05701266e-03,1.83314228e+00,6.03938937e-01
4.07999992e+01,-1.40943436e-03,1.83126318e+00,5.32380581e-01
4.10000000e+01,2.16036895e-03,1.82800877e+00,4.56199557e-01
4.12000008e+01,5.67187462e-03,1.82373989e+00,3.75887424e-01
4.14000015e+01,9.18919127e-03,1.81874466e+00,2.91948318e-01
4.16000023e+01,1.27569893e-02,1.81350923e+00,2.04918504e-01
4.17999992e+01,1.64076164e-02,1.80837500e+00,1.15224287e-01
4.20000000e+01,2.01993994e-02,1.80331600e+00,2.34701801e-02
4.22000008e+01,2.40896884e-02,1.79833317e+00,-6.98480308e-02
4.24000015e+01,2.80785467e-02,1.79355597e+00,-1.64210305e-01
4.26000023e+01,3.21976468e-02,1.78907073e+00,-2.58845955e-01
4.27999992e+01,3.64459120e-02,1.78520763e+00,-3.53112668e-01
4.30000000e+01,4.07766029e-02,1.78220391e+00,-4.46516544e-01
4.32000008e+01,4.51481864e-02,1.78020036e+00,-5.38471401e-01
4.34000015e+01,4.95053194e-02,1.77925313e+00,-6.28348827e-01
4.36000023e+01,5.37534878e-02,1.77930510e+00,-7.15526462e-01
4.37999992e+01,5.78371212e-02,1.78046358e+00,-7.99190819e-01
4.40000000e+01,6.16897419e-02,1.78282440e+00,-8.78560364e-01
4.42000008e+01,6.52018413e-02,1.78651750e+00,-9.53068078e-01
4.44000015e+01,6.82361946e-02,1.79150939e+00,-1.02241218e+00
4.46000023e+01,7.07047209e-02,1.79786134e+00,-1.08626044e+00
4.47999992e+01,7.25525245e-02,1.80559397e+00,-1.14409077e+00
4.50000000e+01,7.37126246e-02,1.81448722e+00,-1.19553912e+00
4.52000008e+01,7.40998313e-02,1.82419074e+00,-1.24024844e+00
4.54000015e+01,7.36905485e-02,1.83447134e+00,-1.27787340e+00
4.56000023e+01,7.24573284e-02,1.84494436e+00,-1.30815065e+00
4.57999992e+01,7.04160854e-02,1.85527742e+00,-1.33094120e+00
4.60000000e+01,6.75504282e-02,1.86501336e+00,-1.34612584e+00
4.62000008e+01,6.38844594e-02,1.87374711e+00,-1.35365045e+00
4.64000015e+01,5.94761707e-02,1.88125265e+00,-1.35349667e+00
4.66000023e+01,5.43945022e-02,1.88740599e+00,-1.34571481e+00
4.67999992e+01,4.87611517e-02,1.89200449e+00,-1.33028388e+00
4.70000000e+01,4.26446348e-02,1.89506698e+00,-1.30719972e+00
4.72000008e+01,3.61157469e-02,1.89692450e+00,-1.27650166e+00
4.74000015e+01,2.93214042e-02,1.89778006e+00,-1.23819327e+00
4.76000023e+01,2.24148538e-02,1.89789832e+00,-1.19229043e+00
4.77999992e+01,1.55280810e-02,1.89746308e+00,-1.13885176e+00
4.80000000e+01,8.72270018e-03,1.89645982e+00,-1.07794058e+00
4.82000008e+01,2.04485538e-03,1.89508224e+00,-1.00963318e+00
4.84000015e+01,-4.53462219e-03,1.89348960e+00,-9.34186637e-01
4.86000023e+01,-1.10017192e-02,1.89169514e+00,-8.51910532e-01
4.87999992e+01,-1.73202641e-02,1.88999760e+00,-7.63105929e-01
4.90000000e+01,-2.35112123e-02,1.88869071e+00,-6.68035209e-01
4.92000008e+01,-2.95669995e-02,1.88769174e+00,-5.67168891e-01
4.94000015e+01,-3.55554931e-02,1.88710296e+00,-4.61292595e-01
